Data,Wartość,Jednostka
2025-06-09 01:00:00,,C6H6
2025-06-09 02:00:00,0.24,C6H6
2025-06-09 03:00:00,0.26,C6H6
2025-06-09 04:00:00,0.22,C6H6
2025-06-09 05:00:00,0.16,C6H6
2025-06-09 06:00:00,0.14,C6H6
2025-06-09 07:00:00,0.22,C6H6
2025-06-09 08:00:00,0.33,C6H6
2025-06-09 09:00:00,0.43,C6H6
2025-06-09 10:00:00,0.32,C6H6
2025-06-09 11:00:00,0.26,C6H6
2025-06-09 12:00:00,0.25,C6H6
2025-06-09 13:00:00,0.21,C6H6
2025-06-09 14:00:00,0.25,C6H6
2025-06-09 15:00:00,0.36,C6H6
2025-06-09 16:00:00,0.42,C6H6
2025-06-09 17:00:00,0.65,C6H6
2025-06-09 18:00:00,0.75,C6H6
2025-06-09 19:00:00,0.76,C6H6
2025-06-09 20:00:00,0.99,C6H6
2025-06-09 21:00:00,1.06,C6H6
2025-06-09 22:00:00,0.87,C6H6
2025-06-09 23:00:00,1.97,C6H6
2025-06-10 00:00:00,1.31,C6H6
2025-06-10 01:00:00,1.17,C6H6
2025-06-10 02:00:00,1.15,C6H6
2025-06-10 03:00:00,1.14,C6H6
2025-06-10 04:00:00,0.82,C6H6
2025-06-10 05:00:00,1.01,C6H6
2025-06-10 06:00:00,0.77,C6H6
2025-06-10 07:00:00,1.09,C6H6
2025-06-10 08:00:00,1.12,C6H6
2025-06-10 09:00:00,1.1,C6H6
2025-06-10 10:00:00,1.06,C6H6
2025-06-10 11:00:00,0.96,C6H6
2025-06-10 12:00:00,0.9,C6H6
2025-06-10 13:00:00,1.02,C6H6
2025-06-10 14:00:00,1.06,C6H6
2025-06-10 15:00:00,1.1,C6H6
2025-06-10 16:00:00,0.79,C6H6
2025-06-10 17:00:00,1.2,C6H6
2025-06-10 18:00:00,0.83,C6H6
2025-06-10 19:00:00,1.09,C6H6
2025-06-10 20:00:00,0.85,C6H6
2025-06-10 21:00:00,1.26,C6H6
2025-06-10 22:00:00,0.75,C6H6
2025-06-10 23:00:00,0.67,C6H6
2025-06-11 00:00:00,0.79,C6H6
2025-06-11 01:00:00,0.69,C6H6
2025-06-11 02:00:00,0.86,C6H6
2025-06-11 03:00:00,1.01,C6H6
2025-06-11 04:00:00,0.97,C6H6
2025-06-11 05:00:00,0.93,C6H6
2025-06-11 06:00:00,1.09,C6H6
2025-06-11 07:00:00,1.28,C6H6
2025-06-11 08:00:00,1.39,C6H6
2025-06-11 09:00:00,1.68,C6H6
2025-06-11 10:00:00,1.08,C6H6
2025-06-11 11:00:00,1.01,C6H6
2025-06-11 12:00:00,1.77,C6H6
2025-06-11 13:00:00,,C6H6
